prompt,completion
Am I not allowed to write on my own user page,Emotional Distress
WTC rebuilding fotos I happened upon the bathtub last year by accident I took the PATH train and inadvertently emerged from below It was awesome and terrifying and I wasn t ready for the impact The last time I was there was on that fateful and fatal day I ll consider a trip back please know it s a very very difficult thing for me NSA flash video No chicken salad is not a code word I promise,Emotional Distress
I can t seem to make Wikipedia email work so I ll respond here You asked how did I come to create Mike Hawash and why come back to it a year later not sure how to answer that I must have either followed a red link or created it in response to some news item I saw I came back to it later and added what appeared to be mostly uncontroversial information until I was attacked I think the edit logs will show this You also ask how I can edit from IP addresses all over the world Again I do travel for my work now but I have no knowledge of how the dial up system I use iPass chooses where it logs into I don t see how any of this is relevant Other than using a dynamic IP address I don t see what I have done to deserve this treatment P s I noticed on Wikipedia Signpost that a case involving someone with dozens of sockpuppets just received probation how do you justify pre emptory banning in this case,Emotional Distress
unblock please unblock this is china user s only hope,Emotional Distress
Why is this person allowed to use profanity insult multiple editors and revert war multiple editors engage in distruptive conduct by deleting peoples contibution and putting their articles up for deletion STALKING editors and and in engaging in deragatory and inflaming conduct and you can DO NOTHING He just showed again in the derogatory comments he left on my talkpage that there is no working out a resolve either be a doormat or leave is his message When will sometyhing be done,Emotional Distress
What I wasplayin with him please reconsider I beg of you,Emotional Distress
There is no reason to delete this Why am I being persecuted by a group of people here on everything I add I am working on more info to post and this is just the start,Emotional Distress
SC Info Im almost positive that this is not the place I m supposed to be responding but there is no reply link at your message Part of the reason for my offense is that I think your being unfair in referring to it as spam If I was just posting Hey Come visit my site without any contribution that would be one thing But when I posted anything from my own site I had news attached to it You didn t have a problem when I posted the news of the departure of the producers and writers of the movie and linked to RopesOfSilicon com and you also didn t have a problem when I posted the purchase of Dreamworks by Paramount and linked to Yahoo News but when the news happened to come from my site even if it is legitimate news it s spam I happen to be in a position that I have connections and can make alot more news than other sites But that shouldn t make the news any less relivant in getting it to people When I take the time and care enough to try to make sure the info is correct only to have it removed and replaced by the same wrong information it s very frustrating and it does come back to us at Ubisoft For example someone came to the official forums and said they saw on Wikipedia that Tom Cruise had accept the role of Sam Fisher in the movie Well that is not true So I had to correct him and that has happened a few times with a few wrong pieces of information Which is why I went to the extent to find the correct info But if you are not in control of the other pages and judging by the fact that the incorrect info that I removed has been replaced it seems those who are in charge seem to perfer having incorrect information posted so my hands are tied Frankly I m getting tired of trying to help and getting railed back for what I see as petty reasons everytime Also the back and forth with you removing my fan page from the list and the two other sites to the bottom only to have me move them back was something I did because I have problems with an owner of another fansite following me around and well not being nice I was thinking it was him that was removing the info,Emotional Distress
Thanks Ira User 64 you haven t said anything logical to which I can reply but if you do I ll be more than happy to give it a while You ve already been asked by another user to stop with the ad hominem If you can t take it please don t dish it out I am exhausted dealing with TAPS fans TAPS advertising TAPS lobbying ad infinitum,Emotional Distress
Unblock Oh hell no I got blocked for edit warring harassment The edit warring was to remove a personal attack by and which then become comment removal vandalism by I made this abundantly clear both on Hipocrite s and I WAS COMPLETELY IGNORED BY THE BLOCKING ADMIN accused of a policy violation by Hipocrite and censored when I tried to defend myself THIS IS RIDICULOUS,Emotional Distress
Also I am a complete and utter douchebag as evidence I submit the simple fact that I sit on here all day with a lightbulb plug in my rectum and leave snitty comments,Emotional Distress
How is that With edits like this All I want is to be left alone in peace to get on with making wikipedia a better place and these users Hagiographer and Zapatancas seem determined to not allow me to do so If Hagiographer actually leaves me alone there will be no problem but calling me an outright liar isnt the way to go about it nor is to say he will ignore my opinions If this user isnt Zapatancas how come he hates me so much Nobody else does All I want is to be left in peacee I know you have the interest of wikipedia at heart so please can you support me in justy being a normal editor witrhout being harrassed,Emotional Distress
Oh and the rifle I used when I was in the Basij of Isfahan The rifle was so powerful I couldnt hold it properly I was fucking 13 And nobody sent me there When you see Iraqi war planes fucking your town and home defending your own people doesnt understand the meaning of age,Emotional Distress
Once again leave me alone You are bothering me for the sake of bothering me You don t even need to reply Just stop typing and pressing Save on my User Talk please Thank you,Emotional Distress
Then that s the problem what if I don t want an ugly lie stinking up my talk page and ruining my reputation,Emotional Distress
I am a dubass who knows nothing about Hinduism,Emotional Distress
Personal attacks Regarding your last post to me practice what you preach How is it OK for you to tell everyone I m ranting and have groupies STOP HARRASSING ME LEAVE ME ALONE,Emotional Distress
Thanks Guy I accept the block and I understand that it was probably the right thing to do Sometimes I think there ought to be a Wikipedia version of alt flame where editors can air their grievances in the meanest way possible I don t know that I ll return This is extremely stressful for me having to swallow all kinds of comments that need to be made With the PTSD I have a low threshhold for attacks of anger,Emotional Distress
I do feel some remorse because of much of what I said Damn Wellbutrin it s making me feel real emotions again and I can t enjoy a cigarette anymore,Emotional Distress
Looks like the admin has a personal vendetta against me,Emotional Distress
Thanks for your kind comments I m under attack by a groupd of thugs Thanks for your words of support But I am under attack by a couple of bullies and thugs chasing down everything I contribute They even deleted your comment but I iremember reading it before they did Did you go through that kind of gangsterism,Emotional Distress
I am sorry but I find your last comment hurting Please revise it,Emotional Distress
Itsmejudith if you know any modern source I can look up to find the similar statements please let me know I ll get the book from library and replace the quote myself I don t want to sneak something into the article I swear by God Jewish Encyclopedia does have POV Making connection between how one group of people treat the others and their ancestors are made in Bible not by me It might seem strange but that s how Bible views things forgive me if I m wrong Now I found it interesting to include this POV into the article i e this connection between Muslims and Jews Mainmoinds refers to Muslims as Ishmaelies if I am correct Itsmejudith I ve been subject to a harsh block for reasons which I still don t know I was accused of all kinds of imaginable crimes in wikipedia ranging from nationalism bigotry related crimes to harrassment disruption and personal attacks several kinds of humuliations and getting ignored from the blocking admin on the top of it I am exhausted it is up to you guys Decide whatever you wish for this section and act upon it,Emotional Distress
I said I would do that correct But I notice the other party also did NOT do that Innocent until proven guilty Why do you take the side of the Wikipedian It is simply because s he has taken the time to register for an account I mean is that really fair Until the other user states his her side can t we just leave it locked or WITHOUT the offending content It makes me so irate that I have to keep coming back to this page defending my thoughts Can t you take a neutral side and decide for yourself what needs to be done anyway,Emotional Distress
I did not do that Why am I suffering consequences Why didn t he block him not the IP I really wish you were an admin,Emotional Distress
Me to it s so sad though It would be nicer if Timothy didn t die,Emotional Distress
Redvers Redvers has been harassing and stalking me,Emotional Distress
Spawn bro please don t tie your fate here to that of a burned out old man You have MANY friends here more than I You re just not counting em all I know where you re coming from This geezer was once a lonely socially awkward teen who didnt know yet how to count his blessings and sometimes is still People and circumstances change I ve simply decided to sit it out if and until they change for the better here Are you really surprised by RFA s They are nothing more than PP Popularity and Politics Our friend Phaedriel is very popular and for good reasons Let s be happy for her Kirill pretty much IS the MilHist project One of my greatest disappointments here is I havent been more of a help to him This project is lucky to have them both as admins and contributors and we re lucky to have them as friends and colleagues But if you need it by all means take a break You ve earned it M8 Also if you wish now that the Daily Pulp is De funcked I ll be glad to contribute all the reviews I did there to your rev page They are only collecting cyber dust in my archives plus since I helped fight to keep your page I may as well use it right So cheer up rest and know that you are not alone,Emotional Distress
literal nightmare to deal with,Emotional Distress
I need a gif of a woman laughing derisively while dropping garbage in the trash because that is my mentions,Emotional Distress
If Emilie leaves tonight I m out MKR okay maybe not but I ll be shattered,Emotional Distress
YesAllWomen because my mother hoped I would inherit a better world than this,Emotional Distress
Why you always make my cry mkr Why,Emotional Distress
RT Awkward_Duck born with a target on my skin FergusonOctober http t co 5mOi57UigV,Emotional Distress
FUCK MY GARRISON,Emotional Distress
I fucking want Ash back I need her back MKR,Emotional Distress
I am tired of having feels When do I get to go full robot,Emotional Distress
I am furious MKR,Emotional Distress
Having a hard time right now It s probably hormones but this is the closest I ve come to making my acct protected Kind words appreciated,Emotional Distress
RT MsPackyetti I don t wanna be a protestor This isn t what I want to do with my life I don t want to have to keep coming out here forâ,Emotional Distress
That s unfair and fucked up mkr,Emotional Distress
the real reason why you be sad you be attach to people who have be distant with you you be pay attention to people who ignore you you make time for people who be too busy for you you be too care to people who be care less when it come to you let those people go,Emotional Distress
my biggest problem be overthinking everything,Emotional Distress
the worst sadness be the sadness you have teach yourself to hide,Emotional Distress
i cannot make you understand i cannot make anyone understand what be happen inside me i cannot even explain it to myself,Emotional Distress
i do not think anyone really understand how tire it be to act okay and always be the strong one when in reality you be close to the edge,Emotional Distress
the worst feel be when something be kill you inside and you have to act like you do not care,Emotional Distress
when i be hurt i shut down i turn into a total bitch i shut off my emotions i act differently towards everything and everyone and i hate it,Emotional Distress
overthinking ruin you ruin the situation twist things around make you worry and just make everything much worse than it actually be,Emotional Distress
i be disappoint in myself because i know i be better than the choices i keep make and the things i choose to deal with,Emotional Distress
i be sick of make things worse i be sick of be hurt i be sick of cry myself to sleep i be sick of hat everything i be sick of fake a smile i be sick of feel this way i be sick of let people down i be sick of be me,Emotional Distress
live with depression and anxiety no motivation to leave your bed dread leave your house not be able to go out unable to make new friends be paranoid or restless mentally hurt zone out a lot ignore people not be yourself,Emotional Distress
sorry for be so fuck up sorry for be such a failure sorry for be a disgrace sorry for be me,Emotional Distress
do you ever write a really long message and about halfway through you be like you know what they do not even care and end up delete it,Emotional Distress
you hide when you cry because you want to be see as a strong person at the same time though you hate how nobody notice how break you be,Emotional Distress
i do not think people really understand just how stressful it be to explain what be on your mind when you do not even understand it yourself,Emotional Distress
i be scar to get close to people because i think they will eventually walk out of my life no matter how close we be because everyone leave,Emotional Distress
i think i be afraid to be happy because whenever i get too happy something bad always happen,Emotional Distress
i hate get so sad to the point where my body completely shut down and all i can do be just lay there and think about all my problems,Emotional Distress
i already know i be not good enough,Emotional Distress
sleep be so hard when you cannot stop think,Emotional Distress
i be not the same anymore i will admit it a lot of shit get to me,Emotional Distress
social anxiety suck you unintentionally make yourself sad you feel alone even when you be not and sometimes you do not even know what be wrong,Emotional Distress
i say sorry a lot because i secretly feel that everything be my fault,Emotional Distress
it suck do not it feel like you be not good enough no matter how hard you try,Emotional Distress
depression be not always sadness it can also be emptiness anger tiredness or loneliness sometimes a cry for help be not so visible,Emotional Distress
do you ever feel physically sick because you know you be not good enough for anyone and cannot do anything right no matter how hard you try,Emotional Distress
i wish someone be afraid to lose me i be always scar of lose people that i love but i doubt anyone would fight to keep me in their life,Emotional Distress
sometimes i be disappoint in myself because i know i be better than the choices i make and the things i choose to deal with,Emotional Distress
you can only be so strong for so long until you reach a point where you break physically mentally emotional,Emotional Distress
my biggest mistake ever be think that people care for me as much as i do for them but in reality it be almost always one side,Emotional Distress
i truly feel like everything i say or do be always wrong like i be a total disappointment to everyone and all i ever do be let people down,Emotional Distress
i overthink a lot i be sensitive and clingy but i really do try my hardest to be good enough so i be sorry if that be not enough,Emotional Distress
do you ever just sit there and realize that you mean nothing to anyone and you start feel lose alone and unloved and truly unwanted,Emotional Distress
she pretend like nothing happen because she want people to see her strong only she know how painful emotionaly mentally she really be,Emotional Distress
be sad for no reason be worse than be sad for a reason because there be absolutely nothing you can do to make yourself feel better,Emotional Distress
i prefer to distance myself whenever i be mad because i turn into the most heartless person you will ever meet and you be go hate me for that,Emotional Distress
i be sorry for be annoy when i want to talk needy because i miss you emotional when i care and insecure because i be afraid to lose you,Emotional Distress
why be you sad i do not know no reason oh no there be plenty of reason i be just not really sure which one it be this time,Emotional Distress
do you ever feel ok but your sad at the same time you just want to talk to someone and hug them but you feel annoy so you just stay quiet,Emotional Distress
she might be laugh but deep inside she be hurt she be try to get her mind off things that make her upset by pretend to be fine,Emotional Distress
i literally notice the smallest of change in how people treat me and i overthink into think everyone hat me,Emotional Distress
you unintentionally make yourself sad you feel alone even when you be not and sometimes you do not even know what be wrong,Emotional Distress
people think you be rude or always in a bad mood,Emotional Distress
it be easier just to say i be fine when somebody ask if you be okay because sometimes it be not possible to explain why you be not,Emotional Distress
oh ok actually mean my heart just get rip into a million piece but i will not tell you because you would not care how i feel anyway,Emotional Distress
i never really know where i stand in some people life one minute they treat me like i be something special then nothing the next,Emotional Distress
the worst feel be when you find out you do not mean as much to someone as you think you do and you look so stupid for care too much,Emotional Distress
every night i think about all the mistake i have make and how much i regret make those decisions because my life could have be different,Emotional Distress
the worst type of cry be at night when everyone be asleep and you have to control it with your hand over your mouth to not make a sound,Emotional Distress
sometimes it be better to keep silent than to tell others how you feel because it hurt know they can hear you but not understand you,Emotional Distress
i hate get flashbacks from things you do not want to remember it feel like your heart suddenly drop and anxiety start take you over,Emotional Distress
i be sorry i have trust issue but when you give someone everything and they toss it away like nothing something inside of you break,Emotional Distress
i need someone who will understand how unstable i be sometimes be alone can be dangerous for me but other time its exactly what i need,Emotional Distress
my only relief be to sleep when i be sleep i be not sad i be not angry i be not scar i be not hurt i be not lonely i be just nothing,Emotional Distress
i hate this feel like i be here but i be notlike someone care but they do not it be like i belong somewhere anywhere but here,Emotional Distress
have you ever want to cry but no tear come out so you just stare blankly into space while feel your heart break into a million piece,Emotional Distress
i feel myself change i do not laugh the same anymore i do not smile the same or talk the same i be just so tire and mentally exhaust,Emotional Distress
pain change people it make them trust less overthink more and shut people out,Emotional Distress
nothing hurt more then be ignore replace forget lie to,Emotional Distress
you think you be do okay and then suddenly it be a nighttime and you be alone and you be not really sure how to distract yourself anymore,Emotional Distress
all the things i do wrong 1 i rely on someone for my happiness 2 i love people more than i love myself 3 i never ask for help,Emotional Distress
we hide behind a fake smile to mask the pain but sometimes we wish someone would look closely enough and see how break we really be inside,Emotional Distress
type haha when you cannot even smile act like you be happy when all you want to do be cry tell everyone you be okay when you be not,Emotional Distress
do you ever feel the need to ask someone if they actually still want you in their life because it always feel like they do not really care,Emotional Distress
you smile but all you want be to cry you talk but you really just want to be quiet you pretend like you be happy but you really be not,Emotional Distress
that worthless feel where you should just lock yourself in a dark room because everything you do or say just seem to piss people off,Emotional Distress
she be scar to get to close to anyone anymore because everyone who promise her they would stay turn their back on her and walk away,Emotional Distress
have you ever be in one of those moods where you do not really know what be wrong but you feel really irritate with everyone and everything,Emotional Distress
i be scar to get close to people because i think they will eventually walk out of my life no matter how close we be because they always do,Emotional Distress
she be hurt mentally and emotionally but everyday she walk with a smile because that be who she be the girl who never stop smile,Emotional Distress
when i be hurt i shut down i turn into a total bitch i shut off my emotions i act differently towards everything and everyone and i hate it,Emotional Distress
so many people in this world have trust issue because people say i be here for you and then run away as soon as things start to fall apart,Emotional Distress
just because her eye do not tear up do not mean her heart do not cry and just because she come off strong do not mean nothing be wrong,Emotional Distress
hate get flashbacks from things you do not want to remember it feel like your heart suddenly drop and anxiety start take over Õ¾ou,Emotional Distress
when i cry about one thing i end up cry about everything that be mess up in my life,Emotional Distress
it really suck want to talk to someone but you really do not want to annoy anyone because they seem totally fine without you,Emotional Distress
everything be change and i do not know where i fit anymore,Emotional Distress
they say it will get better but its a lie it do not get better you just get use to it,Emotional Distress
it be painful to say goodbye to someone you do not want to let go but more painful to ask someone to stay when you know they want to leave,Emotional Distress
i hate the fact that i cry when i be angry and that be the worst thing ever because you be try to act tough and mean but instead you cry,Emotional Distress
every night i convince myself tomorrow will be different but it never be,Emotional Distress
my biggest problem be overthinking everything,Emotional Distress
you smile but you want to cry you talk but you just want to be quiet and you pretend that you be happy but you be not,Emotional Distress
i be the type of person that one thing can change my mood completely and i can go from confident to insecure in a matter of second,Emotional Distress
i be a paradox neither happy or sad i smile at pretty things amp laugh at funny things but at night i become a mess of emotions and thoughts,Emotional Distress
have you ever just randomly start cry because you have be hold in all of these emotions and pretend to be happy for way too long,Emotional Distress
it hurt so much when you can feel yourself become less and less important to the one person who truly mean the most to you,Emotional Distress
pain change people it make them trust less overthink more and shut people out,Emotional Distress
have you ever really want to ask a question but you do not because you know in your heart that you would not be able to handle the answer,Emotional Distress
you have change try go through what i have go through and then see if you be the same pain change people it make it harder to trust,Emotional Distress
physically mentally emotionally tire,Emotional Distress
its sad nobody ever know how much someone be actually hurt someone right next to you could be completely break and you would not know,Emotional Distress
you be so afraid to tell people how you feel because you fear rejection so you bury it deep inside yourself where it only destroy you more,Emotional Distress
my problem be that i start depend on people for my happiness and when they leave like they always do they take my happiness with them,Emotional Distress
how painful be it to say i be fine to the person who be the reason you be break,Emotional Distress
one minute everything be okay and the next i have no idea what be go on,Emotional Distress
the worst feel be feel unwanted by the person you need the most,Emotional Distress
it really hurt when someone be not in the mood to talk to you but when it come to someone else they act like the happiest person alive,Emotional Distress
it be scary that you never really know what someone be think or feel towards you and everything that they say could be one massive lie,Emotional Distress
all i ever want be for someone to not give up on me no matter how much i screw up and no matter how much i push them away they will stay,Emotional Distress
i be so sorry for all the people that have to deal with my constant up and down moods daily,Emotional Distress
how many time have you type i be okay while cry,Emotional Distress
it be easier just to say i be fine when somebody ask if you be okay because sometimes it be not possible to explain why you be not,Emotional Distress
i be sorry i cannot live up to your expectations i be sorry i cannot be normal like everyone else i be sorry i be not as good as everyone else,Emotional Distress
i cannot stand how quickly my mood change it effect my whole life because nobody understand me and people just get really annoy with me,Emotional Distress
have you be so sad and tire and want to be alone but at the same time you really wish there be someone who you could talk to who care,Emotional Distress
Perhaps you d like to write something at Cellular Telecommunications and Internet Association Even if it s a stub that would help Wikipedia out however a placeholder isn t much use,Safe/Neutral
Lists of television series episodes,Safe/Neutral
Does anyone have any photos of Holland Park to put on the page,Safe/Neutral
In the same way the jesus article should only discuss jesus and the verifiable evidence about him not all the christian propaganda that it current y also includes and the unverifiable unhistorical and inaccurate,Safe/Neutral
Please stop adding nonsense to Wikipedia It is considered vandalism If you would like to experiment use the sandbox Thank you,Safe/Neutral
Everyone loves Mike Blouin even tho Chet Culver is likely to win,Safe/Neutral
I went there around the same time he did and that certainly was not the case at the time Later on they stopped taking children from such a young age,Safe/Neutral
U S support to Juarez especially in the form of weapons came after the end of the American Civil War They also allowed Juarez government to operate for some time from American soil That doesn t seem like little help to me e,Safe/Neutral
Hi I have never been on it so you may be more expert,Safe/Neutral
So the party has started but The woods are lovely dark and deep But I have promises to keep and miles to go before I sleep and miles to go before I sleep Robert Frost,Safe/Neutral
Template Afd top Hi While commenting on your proposed changes I found out that according to the text at the top of MediaWiki Monobook css and MediaWiki Common css changes to these pages should be proposed on the village pump Should we move the discussion back to the village pump rather than on WT AFD That s why I added a link to the discussion to the previous discussion on the Village Pump The discussion does not have to be on the Village Pump it only needs to be announced there,Safe/Neutral
That sounds very reasonable I put the quote in there but I won t shorten it myself because I don t want to mistakenly cut something of importance since the concept is new to me,Safe/Neutral
Thanks for experimenting with the page Super Smash Bros Melee on Wikipedia Your test worked and has been reverted or removed Please use the sandbox for any other tests you want to do Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia Thanks,Safe/Neutral
I was listening to the song stay and it had the same lyrics as Fire Water Burn by Bloodhound Gang Can anyone confirm,Safe/Neutral
Coal Chamber Sway I was listening the somg Sway by Coal Chamber and it had the same lyrics as Fire Water Burn Can anyone confirm,Safe/Neutral
Image copyright problem with Image NewSlaveNation New Slave Nation jpg Thanks for uploading Image NewSlaveNation New Slave Nation jpg However the image may soon be deleted unless we can determine the copyright holder and copyright status The Wikimedia Foundation is very careful about the images included in Wikipedia because of copyright law see Wikipedia s Copyright policy The copyright holder is usually the creator the creator s employer or the last person who was transferred ownership rights Copyright information on images is signified using copyright templates The three basic license types on Wikipedia are open content public domain and fair use Find the appropriate template in Wikipedia Image copyright tags and place it on the image page like this TemplateName Please signify the copyright information on any other images you have uploaded or will upload Remember that images without this important information can be deleted by an administrator If you have any questions feel free to contact me Thank you,Safe/Neutral
The question is not if you or I found out about this The issue is can a reader verify that there is no official transcript And the answer is yes â,Safe/Neutral
Bud Swenson http gemsofislamism tripod com,Safe/Neutral
19 24 March 2006 UTC An edit summary explains what I was doing I have explained myself clearly Even on the talk page 21 49,Safe/Neutral
I wish Epsilon hadn t started the whole thing It is now a big mess,Safe/Neutral
trivia i d advise you to look the word up in a good dictionary jay mr townsley s marriage into an important business dynasty is obviously noteworthy which is why it s noted prominently in the article linked to cheers,Safe/Neutral
Thank you Mr Weinberger This was hilarious I have immortalized your experiment by reprinting Stephanie Garlow s write up from the Harvard Crimson at the bottom of http www wikipedia watch org vandals html Hi Mr Weinberger I agree with you Mr Weinberger Rebecca MacKinnon is indeed a kitten eating cyborg,Safe/Neutral
Well that Dixon doesn t even have a page to my knowledge nor do any of the links going to this article appear to be for that particular Dixon For the time being it would probably be better to put a disambig at the top of the page For the _____ see Marcus Dixon whatever And start a page there,Safe/Neutral
See Article validation and Stable versions xd help us,Safe/Neutral
It might not have been your intent but you recently removed content from Oracle Corporation Please be careful not to remove content from Wikipedia without a valid reason which you should specify in the edit summary or on the article s talk page Thank you,Safe/Neutral
If it s going to be left in can we reword it to leave out the orthodox that s what consensus seemed to not want in discussing those who differ and leaving that to the next section The wording prior suggested that Purgatory was specifically Catholic which is why I removed it Also Tom Consensus was that the Beliefs section was for those beliefs that are generally Christian and not to discuss any differences major or minor To break that consensus for any sect is POV if it is not done for any other sect of similar prominence I lost out on that consensus but let us follow through then Personally I think the two beliefs sections should be one and all of this information should be in but the consensus is otherwise And remember you re the one who invited me to continue participating on this page,Safe/Neutral
Great detective work typer525 i hope you find that dang vandal,Safe/Neutral
Dude what s the point in tracking me down Karl,Safe/Neutral
Yeeeah Baby Yeeeah Baby Hello and welcome to Wikipedia We appreciate your contributions to the Yeeeah Baby article but we cannot accept copyrighted text or images borrowed from other web sites or printed material Perhaps you would like to rewrite the article in your own words For more information take a look at Wikipedia s policies and guidelines Happy editing,Safe/Neutral
Oops I forgot I m not allowed to do that is not an excuse for bad behavior You may ask the blocking admin for leniency and use that as your reason but it will not be the get out of jail free card you want it to be As far as you not being fond of the last chance situation you are in I really am sorry it has come to this I m not fond of using heavy sanctions on users who make good edits but you really have not left us any other choice,Safe/Neutral
Lists that combine categories On the AfD for List of Jewish American criminals and victims you wrote Comment Does anyone think that this sort of list is substantially different from List of Jewish actors and actresses If so I d like to understand exactly why I don t know if you re aware that in January 06 there was extensive discussion of the issue of lists that try and combine a person s ethnic or religious affiliation with something completely unrelated to that The extreme example discussed at some length there was List of Methodist dentists I missed that discussion but having looked through it recently as I ve watch the AfD comments I m really disappointed that the community did not come to an acceptable consensus on the question I see a difference between the list you cite and the list under discussion primarily because the criminals and victims is so contentious and potentially offensive We ve seen the comments from While I can see some way in which a list of people who were victims because they were Jewish gay missionaries could have merit but I m not sure it warrants inclusion on Wikipedia I cannot see how a list of criminals could have the same merit To act in a manner that is criminal is effectively a declaration that the faith into which you were born or claim by conversion is effectively a sham So I am against the list of criminals and victims remaining not only because it not doing anything of value in the context of an encyclopedia but because it is potentially offensive As for the list of actors I am against their creation since they do not seem to have encyclopedic value Such a list combines two aspects of a person s life that do not inherently have value A list of Jewish scholars of Christianity for example might be a very interesting list There is a category combination that i see has genuine value It was said that a List of Islamicist athletes has values because such athletes choose to recognise aspects of the Koran in the way that they compete women wearing a burka spelling for example So I ve come to the position that both lists you mention are unencyclopedic but was willing to accept the view of a majority that a List of Jewish actors and actresses was something I can put up with A List of Jewish American criminals and victims is too contentious to remain,Safe/Neutral
Date of birth required,Safe/Neutral
Hello Hi Blu Aardvark glad to see you did not permanently leave Wikipedia I was wondering why my Template Current event template redirect wasn t working couldn t see the obvious â 2006 01 15Â 13 36Z Thanks Thanks for taking note of The Arcata Eye and Plazoid pages Happy Birthday Have a great day Admin Fighter That was really funny gave me a good chuckle You should have just crossed it out and left it in Removing religious and political categories Recent attempt at vote stacking leaves a bad taste in my mouth Were you referring to this Wikipedia Administrators noticeboard Incidents Catholic Alliance of Wikipedia like vote stacking Â â âœ No I was referring to a Wikipedia email I recieved earlier today sent by in an attempt to stack votes on AFD s related to Christianity Looks like he s got himself an RfC now policy proposal Hi you recently commented on bible verse articles and may therefore be interested in commenting about a proposed policy covering roughly 50 specific verses Wikipedia Centralized discussion Verses of 1 Kings 4 and 5 Ubuntu Logo Blu I noticed you changed the logo for the Ubuntu Linux User Box Why The usage policy on Ubuntu s offical site clearly allows for such use Besides the logo is just that a low resolution image of a logo which is allowed under fair use I am aware that some discussion has been going around about fair use images in user boxes If you changed the logo to Tux because I labeled it as a fair use image and not with some other licensing information I m sure I can find an appropriate image copyright tag At the time I had changed it several ongoing discussions had indicated that copyrighted images and logos available under fair use were not to be used in userspace per Wikipedia policy The Ubuntu trademark policy may allow it but Wikipedia policy per WP FU is to limit images that are not available for commercial use which the Ubuntu trademark policy explicity disallows contribs The preceding text was copied from WP NPA Please review and adhere to WP NPA WP CIV and WP WQT Please re familliarize yourself with Wikipedia policy Thanks in advance I am fully aware of the above policies thank you I do not feel that it can be considered a personal attack or incivil to call a troll a troll I m sorry if you don t agree with me in that but that does not mean that my statement is a violation of any of the above policies contribs It is a violation and you must refrain from it WP NPA is non negotiable Funny Nobody considers it a violation of WP NPA to call a vandal Nobody con,Safe/Neutral
I specified that I just shrinked the original page to make it usable for the site but it still did not work Freely delete it Thanks,Safe/Neutral
Funny how I created an article almost exactly the same as this and it got deleted yet this didn t,Safe/Neutral
We told you all of the fans sites should stay Any site posted should stay,Safe/Neutral
This article could be improved if someone added details such as the name of the home ground the current manager etc,Safe/Neutral
0waldo Please don t remove my useful link in OPENGL Thanks Waldo,Safe/Neutral
Hello All this is 0Waldo and I m SO FREEKING happy to be back unfettered and or no shackles AND UNBLOCKED TOTALLY I added the link back because it has been there forever and is useful Please DO NOT REMOVE THE LINK unless I tell you Thanks,Safe/Neutral
from 0Waldo Steve hello this is 0Waldo please leave the link in OPENGL we can talk about it if you like Thanks and hugs,Safe/Neutral
From 0Waldo PLEASE DO NOT REMOVE LINK TO PAGE CONCERNING THIS ARTICLE talk about it here,Safe/Neutral
from 0Waldo Why did you just revert my link Please put it back,Safe/Neutral
The link has been there FOREVER until my friend JeffQ had it axed because he was pizzzed at me It needs to be there because it is a good link,Safe/Neutral
Origin of the name Does anyone know where the name Limpopo comes from What does it mean 25 March 2006 16 23 UTC,Safe/Neutral
26 New date since the page has grown rather large I also expect to put in some guidelines about discussion here that will be more in line with Wiki policies or rules It s certainly my own fault for allowing off site issues to be introduced and then further argued here That stops on March 26th,Safe/Neutral
Streptococcus mutans,Safe/Neutral
1 I am an admin so I guess you were only re stating the obvious and 2 the article has been restored and reverted to the more complete version,Safe/Neutral
I am the person who made the page about the online community about a strip in a newspaper If Ebaum can have a page so can we If the vagina can have a page so can we If Numa frigging Numa can have a page so can we The page is well written and is doing no harm so why not leave it alone eh,Safe/Neutral
Deleting content from a page I made I d appreciate it if you didn t delete a huge section of text that I wrote It was doing no harm broke no rules and it was well written I m putting it back,Safe/Neutral
March 2006 UTC Support But agree fully with Sijo Ripa anyways 20 33 25,Safe/Neutral
Image copyright problem with Image MacLean Dress Tartan jpg Thanks for uploading Image MacLean Dress Tartan jpg However the image may soon be deleted unless we can determine the copyright holder and copyright status The Wikimedia Foundation is very careful about the images included in Wikipedia because of copyright law see Wikipedia s Copyright policy The copyright holder is usually the creator the creator s employer or the last person who was transferred ownership rights Copyright information on images is signified using copyright templates The three basic license types on Wikipedia are open content public domain and fair use Find the appropriate template in Wikipedia Image copyright tags and place it on the image page like this TemplateName Please signify the copyright information on any other images you have uploaded or will upload Remember that images without this important information can be deleted by an administrator If you have any questions feel free to contact me Thank you 0,Safe/Neutral
Dates James could I ask you please not to threaten to block people involved in the date delinking content dispute If anyone is being truly disruptive an involved admin can adminster blocks as appropriate but so far it seems to me that Quadell was acting in good faith when he edited in accordance with the MoS Ambi was acting in good faith when she reverted his edits because the MoS is not policy and she felt the issue hadn t been discussed enough and VSmith was acting in good faith because he feels the MoS should be adhered to It s a shame that it s come to this because these are all good editors so please help us to find compromise wording for the MoS that everyone can agree to Cheers,Safe/Neutral
a small greek fashist such as,Safe/Neutral
Encephalectomy Some of the listings on this page are not valid surgical procedures and would never be performed except perhaps as a crude form of execution â,Safe/Neutral
As far as date rape substances are concerned the oldest used substance is alcohol but I havent seen any bans for that recently moreover alcohol produces toxic byproducts GHB does not,Safe/Neutral
